Preliminär balansräkning
Samis Jackets AB
559489-5301

Avser perioden 2024-07-01 - 2025-12-31

;Vid periodens början;Förändring;Vid periodens slut

TILLGÅNGAR

Anläggningstillgångar
Materiella anläggningstillgångar
Inventarier, verktyg och installationer
1220 Inventarier och verktyg;0,0000;49170,6800;49170,6800;
1240 Bilar och andra transportmedel;0,0000;27500,0000;27500,0000;
;0,0000;76670,6800;76670,6800;

Summa anläggningstillgångar;0,0000;76670,6800;76670,6800;

Omsättningstillgångar
Varulager mm
Färdiga varor och handelsvaror
1460 Lager av handelsvaror;0,0000;982749,4600;982749,4600;

Kortfristiga fordringar
Övriga fordringar
1630 Avräkning för skatter och avgifter (skattekonto);0,0000;-6581,0000;-6581,0000;
2650 Redovisningskonto för moms;0,0000;400,0000;400,0000;
;0,0000;-6181,0000;-6181,0000;

Övriga omsättningstillgångar
Kassa och bank
1910 Kassa;0,0000;43381,9200;43381,9200;
1930 Företagskonto/checkkonto/affärskonto;0,0000;90532,7200;90532,7200;
1940 Övriga bankkonton;0,0000;-47203,6600;-47203,6600;
1941 Annat bankkonto viva.com;0,0000;-0,5500;-0,5500;
1942 Wise USD;0,0000;1749,9000;1749,9000;
1943 Wise GBP;0,0000;1847,9900;1847,9900;
1944 Wise EUR;0,0000;2004,5800;2004,5800;
1945 Wise SEK;0,0000;8166,8800;8166,8800;
1947 Worldline;0,0000;10971,9700;10971,9700;
1948 Sales account;0,0000;0,1700;0,1700;
;0,0000;111451,9200;111451,9200;

Summa omsättningstillgångar;0,0000;1088020,3800;1088020,3800;

SUMMA TILLGÅNGAR;0,0000;1164691,0600;1164691,0600;

EGET KAPITAL OCH SKULDER

Eget kapital
Fritt eget kapital
Balanserad vinst eller förlust
2091 Balanserad vinst eller förlust;0,0000;-2511,4700;-2511,4700;
2093 Erhållna aktieägartillskott;0,0000;-1,0000;-1,0000;
;0,0000;-2512,4700;-2512,4700;

Summa eget kapital;0,0000;-2512,4700;-2512,4700;

Kortfristiga skulder
Leverantörsskulder
2441 Future World Tech;0,0000;194484,7200;194484,7200;
2448 Ej reskontraförda leverantörsskulder;0,0000;-0,9200;-0,9200;
;0,0000;194483,8000;194483,8000;
Övriga skulder
2611 Utgående moms på försäljning inom Sverige, 25%;0,0000;-92597,4300;-92597,4300;
2641 Debiterad ingående moms;0,0000;10954,6200;10954,6200;
2893 Skulder till närstående personer, kortfristig del;0,0000;-1596598,0700;-1596598,0700;
;0,0000;-1678240,8800;-1678240,8800;

Summa kortfristiga skulder;0,0000;-1483757,0800;-1483757,0800;

SUMMA EGET KAPITAL OCH SKULDER;0,0000;-1486269,5500;-1486269,5500;

BERÄKNAT RESULTAT;0,0000;-321578,4900;-321578,4900;
