"""Preliminär Huvudbok""";;;;;;;;
Samis Jackets AB;;;;;;;;
559489-5301;;;;;;;;
"""Utskriftsdatum"": den 6 January 2026 18:53:59";;;;;;;;
;;;;;;;;
"""Räkenskapsår:"" 2024-07-01 - 2025-12-31";;;;;;;;
"""Avser perioden"" 2024-07-01 - 2025-12-31";;;;;;;;
;;;;;;;;
;;;;;;;;
"""Konto""";"""Verifikation""";"""Datum""";"""Beskrivning""";"""Momskod""";"""Moms""";"""Debet""";"""Kredit""";"""Saldo"""
1220 Inventarier och verktyg;;;;;;;;
;A 609;2025-06-30;Allokering marknadsfringslager 15% frÑn import;;;134 382,80;;134 382,80
;A 618;2025-06-30;MarknadsfringsgÑvor enligt 15% policy fr kinaprodukter;;;;18 181,70;116 201,10
;A 620;2025-06-30;Varor bags skor biliga for markiting to assest mellan att dela de ;;;;134 382,00;-18 180,90
;A 622;2025-07-01;Clear opening 1469 balance - previous period marketing gifts;;;18 180,90;;0,00
;A 624;2025-09-30;Allocate Q3 2025 marketing gifts to staging (231 units @ 25% policy);;;11 337,54;;11 337,54
;A 625;2025-09-30;Expense Q3 2025 marketing gifts - clean 1469 to zero;;;;11 337,54;0,00
;;;"""Utgående saldo:""";;0,00;163 901,24;163 901,24;0,00
;;;;;;;;
1580 Fordringar för kontokort och kuponger;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 777;2025-10-03;Shopify EUR inbetalning 103.75 EUR;;;;1 193,13;-1 193,13
;A 948;2025-10-03;Shopify EUR 103.75;;;1 193,13;;0,00
;A 782;2025-10-10;Shopify EUR inbetalning 86.12 EUR;;;;990,38;-990,38
