Preliminär resultaträkning
Samis Jackets AB
559489-5301

Avser perioden 2024-07-01 - 2025-12-31

;Perioden;Ackumulerat

Rörelsens intäkter
Nettoomsättning
3051 Försäljn varor 25% sv;788606,1600;;788606,1600;
3740 Öres- och kronutjämning;1,2900;;1,2900;
;788607,4500;;788607,4500;

Summa rörelsens intäkter;788607,4500;;788607,4500;

Rörelsens kostnader
Råvaror och förnödenheter
4000 Inköp av varor från Sverige;-1807,9100;;-1807,9100;
4001 Inkop av tjanst;-9583,5900;;-9583,5900;
4545 Import av varor, 25 % moms;6,9300;;6,9300;
;-11384,5700;;-11384,5700;

Handelsvaror
4110 Kostnad sÑlda varor;-487504,9800;;-487504,9800;

Övriga externa kostnader
5010 Lokalhyra;-223008,4800;;-223008,4800;
5070 Reparation och underhåll av lokaler;-807,6200;;-807,6200;
5410 Förbrukningsinventarier;-10144,7800;;-10144,7800;
5420 Programvaror;-12104,1000;;-12104,1000;
5460 Förbrukningsmaterial;-15463,1200;;-15463,1200;
5610 Personbilskostnader;-13444,9200;;-13444,9200;
5611 Drivmedel för personbilar;-6541,5500;;-6541,5500;
5619 Övriga personbilskostnader;-1625,2400;;-1625,2400;
5620 Lastbilskostnader;-849,0000;;-849,0000;
5700 Frakter och transporter (gruppkonto);-11921,5200;;-11921,5200;
5800 Resekostnader (gruppkonto);-12061,8100;;-12061,8100;
5810 Biljetter;-20513,1500;;-20513,1500;
5830 Kost och logi;-7945,2100;;-7945,2100;
5890 Övriga resekostnader;-13003,7600;;-13003,7600;
5900 Reklam och PR (gruppkonto);-94744,1000;;-94744,1000;
5910 Annonsering;-28375,8600;;-28375,8600;
5911 AI-marknadsforingsverktyg;-2740,4000;;-2740,4000;
5920 Utomhus- och trafikreklam;-256,7200;;-256,7200;
6110 Kontorsmateriel;-785,6200;;-785,6200;
6212 Mobiltelefon;-2248,0700;;-2248,0700;
6250 Postbefordran;-1757,0000;;-1757,0000;
6310 Företagsförsäkringar;-7723,0000;;-7723,0000;
6500 Övriga externa tjänster (gruppkonto);-1732,0700;;-1732,0700;
6540 IT-tjänster;-325,2900;;-325,2900;
6570 Bankkostnader;-13922,8800;;-13922,8800;
6590 Övriga externa tjänster;-6029,4600;;-6029,4600;
6990 Övriga externa kostnader;-15238,0500;;-15238,0500;
6991 Övriga externa kostnader, avdragsgilla;-33303,7700;;-33303,7700;
6992 Övriga externa kostnader, ej avdragsgilla;-28428,1200;;-28428,1200;
;-587044,6700;;-587044,6700;

Personalkostnader
7010 Löner till kollektivanställda;-24528,0000;;-24528,0000;

Summa rörelsens kostnader;-1110462,2200;;-1110462,2200;

Rörelseresultat;-321854,7700;;-321854,7700;

Finansiella poster
Ränteintäkter och liknande resultatposter
8311 Ränteintäkter från bank;153,6700;;153,6700;

Räntekostnader och liknande resultatposter
8400 Räntekostnader (gruppkonto);122,6100;;122,6100;

Resultat efter finansiella poster;-321578,4900;;-321578,4900;

Resultat före skatt;-321578,4900;;-321578,4900;

BERÄKNAT RESULTAT;-321578,4900;;-321578,4900;

